path,git_blob_id,sha256,bytes,lines,language,generated,generator,public_surface,security_critical,science_critical,authority_critical,reviewer,review_status,requirements,assumptions,defects,tests,evidence,disposition,completed_at
.claude/settings.json,671a0844777900e078dd8c24b1e9ffff53aa0772,6325509a6bc50fa4bb0fb45f63fc007735e9720be8f37f47f1ea035b7ea1f0c9,58,6,JSON,false,not applicable,false,false,false,false,UNASSIGNED,INVENTORIED_NOT_REVIEWED,T000;T001;T002,exact-tag tree inventory only; no line review inferred,not assessed by inventory,scripts/check-review-evidence-self-test.py,git tree a9a275157237999c8da6ab813130d74f6113dec9,inventory only; independent or human review not claimed,
.editorconfig,c7f6c55697ca42c363e4a1e41a4e31092592ce79,97b3800935844a6c976b0b0d1c050a4677b09283408771ff2d74b4659686c76e,439,25,configuration,false,not applicable,false,false,false,false,UNASSIGNED,INVENTORIED_NOT_REVIEWED,T000;T001;T002,exact-tag tree inventory only; no line review inferred,not assessed by inventory,scripts/check-review-evidence-self-test.py,git tree a9a275157237999c8da6ab813130d74f6113dec9,inventory only; independent or human review not claimed,
.gitattributes,fc5386fb946029a697f4a7cefdb53ab9fdaf4ae8,bf43ae86020e752ade9b64a593e08be814ea47272ae913269a5182306d4ce425,1050,19,configuration,false,not applicable,false,false,false,false,UNASSIGNED,INVENTORIED_NOT_REVIEWED,T000;T001;T002,exact-tag tree inventory only; no line review inferred,not assessed by inventory,scripts/check-review-evidence-self-test.py,git tree a9a275157237999c8da6ab813130d74f6113dec9,inventory only; independent or human review not claimed,
.github/ISSUE_TEMPLATE/bug_report.md,f66f7888b803aee20f67c1056069ba6e01c2716c,11f1db14c1e950ab52d9244b05a6083868ec56371469cb1f33a45f7f5e66034b,1421,37,Markdown,false,not applicable,false,true,false,false,UNASSIGNED,INVENTORIED_NOT_REVIEWED,T000;T001;T002,exact-tag tree inventory only; no line review inferred,not assessed by inventory,scripts/check-review-evidence-self-test.py,git tree a9a275157237999c8da6ab813130d74f6113dec9,inventory only; independent or human review not claimed,
.github/ISSUE_TEMPLATE/config.yml,b14a38314124385d17da89f6229b9864f7fe427d,69e1ed54c580b55e3764166bfabc22810667cabb0a02f4f6afd6f671e55d2e80,416,8,YAML,false,not applicable,false,true,false,false,UNASSIGNED,INVENTORIED_NOT_REVIEWED,T000;T001;T002,exact-tag tree inventory only; no line review inferred,not assessed by inventory,scripts/check-review-evidence-self-test.py,git tree a9a275157237999c8da6ab813130d74f6113dec9,inventory only; independent or human review not claimed,
.github/ISSUE_TEMPLATE/feature_request.md,f5f2dd4948b1d5ecf21402c4ac74509ab09ac81d,cb3445e5c518796729c548a1c8a490f65959e390c5be96694adbc44240526834,386,17,Markdown,false,not applicable,false,true,false,false,UNASSIGNED,INVENTORIED_NOT_REVIEWED,T000;T001;T002,exact-tag tree inventory only; no line review inferred,not assessed by inventory,scripts/check-review-evidence-self-test.py,git tree a9a275157237999c8da6ab813130d74f6113dec9,inventory only; independent or human review not claimed,
.github/PULL_REQUEST_TEMPLATE.md,e87de7fd7e87dbd50e52b81131d8760d659b074c,5326ce131cad258fe53cd44db1c3800a08153605f1779cd3ce5a3484bdad6ae4,2356,34,Markdown,false,not applicable,false,true,false,false,UNASSIGNED,INVENTORIED_NOT_REVIEWED,T000;T001;T002,exact-tag tree inventory only; no line review inferred,not assessed by inventory,scripts/check-review-evidence-self-test.py,git tree a9a275157237999c8da6ab813130d74f6113dec9,inventory only; independent or human review not claimed,
.github/dependabot.yml,e20ae3b71efaf17a67d5e2e0c4e4e44ea92ff7a7,350ae18f86dfe0047e7aad709eccdb4261174755ebf2173f6efdd8368a023c17,400,19,YAML,false,not applicable,false,true,false,false,UNASSIGNED,INVENTORIED_NOT_REVIEWED,T000;T001;T002,exact-tag tree inventory only; no line review inferred,not assessed by inventory,scripts/check-review-evidence-self-test.py,git tree a9a275157237999c8da6ab813130d74f6113dec9,inventory only; independent or human review not claimed,
.github/workflows/ci.yml,b77494965d87bb49dda1aab08fb34f787eff609c,7714aa92721963913958d845753e5b776ef77887919ac24cdc6682d78d3acf0f,20601,522,YAML,false,not applicable,false,true,false,true,UNASSIGNED,INVENTORIED_NOT_REVIEWED,T000;T001;T002,exact-tag tree inventory only; no line review inferred,not assessed by inventory,scripts/check-review-evidence-self-test.py,git tree a9a275157237999c8da6ab813130d74f6113dec9,inventory only; independent or human review not claimed,
.github/workflows/release.yml,5b8a3f19f1a6b371a0ca0988eb1e96015f7f604f,bc7f6ef66ad0b7175229b0de28d56e7edf7c2b8248a8b9420ff263e356f17011,36329,860,YAML,false,not applicable,false,true,false,true,UNASSIGNED,INVENTORIED_NOT_REVIEWED,T000;T001;T002,exact-tag tree inventory only; no line review inferred,not assessed by inventory,scripts/check-review-evidence-self-test.py,git tree a9a275157237999c8da6ab813130d74f6113dec9,inventory only; independent or human review not claimed,
.github/workflows/review-release.yml,f07236581e7dfa18b7051577c3a731ffa47602e0,fcab33a02b84a2a35c3c6d715638a50a3139c6d7b78bd9682c0a13fc5e5b2d86,41382,886,YAML,false,not applicable,false,true,false,true,UNASSIGNED,INVENTORIED_NOT_REVIEWED,T000;T001;T002,exact-tag tree inventory only; no line review inferred,not assessed by inventory,scripts/check-review-evidence-self-test.py,git tree a9a275157237999c8da6ab813130d74f6113dec9,inventory only; independent or human review not claimed,
.gitignore,bf53517de8331edd6e40d64d6ed147e49fced7ed,921fa88d69dea03e9fbf79fa2252b22d079959e5443c8d01b8b46ced1660a882,3187,147,configuration,false,not applicable,false,false,false,false,UNASSIGNED,INVENTORIED_NOT_REVIEWED,T000;T001;T002,exact-tag tree inventory only; no line review inferred,not assessed by inventory,scripts/check-review-evidence-self-test.py,git tree a9a275157237999c8da6ab813130d74f6113dec9,inventory only; independent or human review not claimed,
